file_in,title,journal,average marginal component effect,average treatment effect,carr.{20}exper,\bcausal\b,causal inference,choice experi,coefficient,condition,"conduct.{1,70}exper",confidence interval,joint analysis,joint experiment,control,control condition,control group,design,difference-in-differences,\beffect\b,estimator,"experi.{1,120}conduct",experi.{20}carri,"experi.{1,40}we","experi.{1,30}design","experiment.{1,10}design","experiment.{1,10}group","experiment.{1,10}manipul","experiment.{1,10}research",field experiment,"group.{1,10}treat",instrumental variable,interaction,internet experiment,intervention,"i{1,20}ran","i{1,20}random",lab experiment,laboratory experiment,likelihood estimator,list experim,list survey,manipulat,marginal means,maximum likelihood estimator,measure,mechanical turk,mturk,multilevel experiment,natural experiment,null result,\bols\b,"original.{1,10}experim",\bour\b,"our.{1,10}game","our.{1,20}experi","our.{1,30}find",p <,p =,p >,p<,p=,p>,participa,"participants.{1,30}assign",plot,polimetrix,post-test,posttest,pre-experiment,pre-test,predict,predicted probab,pretest,qualtrics,quasi-experi,random utility model,"random.{1,30}assign",randomi[sz]ed control trial,rct,rdd,recruit,"recruit.{1,20}participa","recruit.{1,20}respond","recruit.{1,20}subject",regression,respon,"respond.{1,10}were",review,sample size,simulat,statistical significance,statistically significant,"study.{1,20}experi",subject,"subject.{1,20}recruit",survey experi,systematic review,the experi,this experi,treatment effect,treatment group,thought experi,group experi,"use.{1,30}experi","using.{1,10}experiment","utili[sz].{1,70}exper",validity,vignette,vignette experiment,\bwe\b,"we.{1,150}experiment","we.{1,20}carr","we.{1,20}conduct","we.{1,20}design","we.{1,20}field","we.{1,20}find","we.{1,20}ran","we.{1,20}randomi","we.{1,20}recrui","we.{1,20}test","we.{1,40}design",yougov,µ,β,computation,regression discontinuity,discrete choice,cluster,choice experi,monte carlo,player,"experi.{1,10}condition","experi.{1,10}session",counterfact,count_experiment,exp_header,exp_sum,exp_avg,prereg_context,prereg_term_context,nchar
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,0,1,0,3,1,0,6,15,0,0,0,0,1,1,0,9,0,41,0,2,0,3,3,3,0,2,1,2,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,0,0,0,1,0,63,0,13,4,7,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,20,0,3,0,0,1,2,0,7,0,9,0,2,0,5,0,0,0,1,0,0,4,1,0,71,8,0,0,2,2,3,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,398,2.99248120300752,"or the protection of human subjects (id: study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resulting sample does differ from japan’s adult population in terms of key demog"," study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resultin",71047
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,0,1,0,3,1,0,6,15,0,0,0,0,1,1,0,9,0,41,0,2,0,3,3,3,0,2,1,2,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,0,0,0,1,0,63,0,13,4,7,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,20,0,3,0,0,1,2,0,7,0,9,0,2,0,5,0,0,0,1,0,0,4,1,0,71,8,0,0,2,2,3,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,398,2.99248120300752,"xchange program issue. given these variables, we test three preregistered hypotheses using ordinary least squares (ols) regressions. below, we introduce two main hypotheses. the third hypothesis and the results of testing it are presented in the supplementary materials. the first hypothesis is based on a simple additive model: hypothesis 1 in an additive model, y = b0 + b1 ⋅ source cue + b2 ⋅ policy content +b3 ⋅ issue salience + 𝜖, the estimated coefficients fo"," study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resultin",71047
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,0,1,0,3,1,0,6,15,0,0,0,0,1,1,0,9,0,41,0,2,0,3,3,3,0,2,1,2,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,0,0,0,1,0,63,0,13,4,7,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,20,0,3,0,0,1,2,0,7,0,9,0,2,0,5,0,0,0,1,0,0,4,1,0,71,8,0,0,2,2,3,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,398,2.99248120300752,"e sali- ence was not our main research interest, we did not preregister a hypothesis on this additional interaction. but the results of running a model with an interaction of policy content and issue salience show that the interaction is in fact insignificant. this result is contrary to the finding in ciuk and yost (2016). one might expect that uncooperative policy on a charged issue like security would motivate people to con- sider policy implications more clos"," study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resultin",71047
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,0,1,0,3,1,0,6,15,0,0,0,0,1,1,0,9,0,41,0,2,0,3,3,3,0,2,1,2,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,0,0,0,1,0,63,0,13,4,7,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,20,0,3,0,0,1,2,0,7,0,9,0,2,0,5,0,0,0,1,0,0,4,1,0,71,8,0,0,2,2,3,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,398,2.99248120300752,"or the protection of human subjects (id: study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resulting sample does differ from japan’s adult population in terms of key demog"," study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resultin",71047
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,0,1,0,3,1,0,6,15,0,0,0,0,1,1,0,9,0,41,0,2,0,3,3,3,0,2,1,2,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,0,0,0,1,0,63,0,13,4,7,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,20,0,3,0,0,1,2,0,7,0,9,0,2,0,5,0,0,0,1,0,0,4,1,0,71,8,0,0,2,2,3,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,398,2.99248120300752,"xchange program issue. given these variables, we test three preregistered hypotheses using ordinary least squares (ols) regressions. below, we introduce two main hypotheses. the third hypothesis and the results of testing it are presented in the supplementary materials. the first hypothesis is based on a simple additive model: hypothesis 1 in an additive model, y = b0 + b1 ⋅ source cue + b2 ⋅ policy content +b3 ⋅ issue salience + 𝜖, the estimated coefficients fo"," study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resultin",71047
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,0,1,0,3,1,0,6,15,0,0,0,0,1,1,0,9,0,41,0,2,0,3,3,3,0,2,1,2,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,0,0,0,1,0,63,0,13,4,7,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,20,0,3,0,0,1,2,0,7,0,9,0,2,0,5,0,0,0,1,0,0,4,1,0,71,8,0,0,2,2,3,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,398,2.99248120300752,"e sali- ence was not our main research interest, we did not preregister a hypothesis on this additional interaction. but the results of running a model with an interaction of policy content and issue salience show that the interaction is in fact insignificant. this result is contrary to the finding in ciuk and yost (2016). one might expect that uncooperative policy on a charged issue like security would motivate people to con- sider policy implications more clos"," study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resultin",71047
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,0,1,0,3,1,0,6,15,0,0,0,0,1,1,0,9,0,41,0,2,0,3,3,3,0,2,1,2,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,0,0,0,1,0,63,0,13,4,7,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,20,0,3,0,0,1,2,0,7,0,9,0,2,0,5,0,0,0,1,0,0,4,1,0,71,8,0,0,2,2,3,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,398,2.99248120300752,"or the protection of human subjects (id: study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resulting sample does differ from japan’s adult population in terms of key demog"," study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resultin",71047
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,0,1,0,3,1,0,6,15,0,0,0,0,1,1,0,9,0,41,0,2,0,3,3,3,0,2,1,2,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,0,0,0,1,0,63,0,13,4,7,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,20,0,3,0,0,1,2,0,7,0,9,0,2,0,5,0,0,0,1,0,0,4,1,0,71,8,0,0,2,2,3,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,398,2.99248120300752,"xchange program issue. given these variables, we test three preregistered hypotheses using ordinary least squares (ols) regressions. below, we introduce two main hypotheses. the third hypothesis and the results of testing it are presented in the supplementary materials. the first hypothesis is based on a simple additive model: hypothesis 1 in an additive model, y = b0 + b1 ⋅ source cue + b2 ⋅ policy content +b3 ⋅ issue salience + 𝜖, the estimated coefficients fo"," study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resultin",71047
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,0,1,0,3,1,0,6,15,0,0,0,0,1,1,0,9,0,41,0,2,0,3,3,3,0,2,1,2,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,0,0,0,1,0,63,0,13,4,7,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,20,0,3,0,0,1,2,0,7,0,9,0,2,0,5,0,0,0,1,0,0,4,1,0,71,8,0,0,2,2,3,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,398,2.99248120300752,"e sali- ence was not our main research interest, we did not preregister a hypothesis on this additional interaction. but the results of running a model with an interaction of policy content and issue salience show that the interaction is in fact insignificant. this result is contrary to the finding in ciuk and yost (2016). one might expect that uncooperative policy on a charged issue like security would motivate people to con- sider policy implications more clos"," study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resultin",71047
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,0,1,0,3,1,0,6,15,0,0,0,0,1,1,0,9,0,41,0,2,0,3,3,3,0,2,1,2,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,0,0,0,1,0,63,0,13,4,7,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,20,0,3,0,0,1,2,0,7,0,9,0,2,0,5,0,0,0,1,0,0,4,1,0,71,8,0,0,2,2,3,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,398,2.99248120300752,"or the protection of human subjects (id: study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resulting sample does differ from japan’s adult population in terms of key demog"," study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resultin",71047
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,0,1,0,3,1,0,6,15,0,0,0,0,1,1,0,9,0,41,0,2,0,3,3,3,0,2,1,2,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,0,0,0,1,0,63,0,13,4,7,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,20,0,3,0,0,1,2,0,7,0,9,0,2,0,5,0,0,0,1,0,0,4,1,0,71,8,0,0,2,2,3,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,398,2.99248120300752,"xchange program issue. given these variables, we test three preregistered hypotheses using ordinary least squares (ols) regressions. below, we introduce two main hypotheses. the third hypothesis and the results of testing it are presented in the supplementary materials. the first hypothesis is based on a simple additive model: hypothesis 1 in an additive model, y = b0 + b1 ⋅ source cue + b2 ⋅ policy content +b3 ⋅ issue salience + 𝜖, the estimated coefficients fo"," study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resultin",71047
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,0,1,0,3,1,0,6,15,0,0,0,0,1,1,0,9,0,41,0,2,0,3,3,3,0,2,1,2,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,0,0,0,1,0,63,0,13,4,7,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,20,0,3,0,0,1,2,0,7,0,9,0,2,0,5,0,0,0,1,0,0,4,1,0,71,8,0,0,2,2,3,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,398,2.99248120300752,"e sali- ence was not our main research interest, we did not preregister a hypothesis on this additional interaction. but the results of running a model with an interaction of policy content and issue salience show that the interaction is in fact insignificant. this result is contrary to the finding in ciuk and yost (2016). one might expect that uncooperative policy on a charged issue like security would motivate people to con- sider policy implications more clos"," study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resultin",71047
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,0,1,0,3,1,0,6,15,0,0,0,0,1,1,0,9,0,41,0,2,0,3,3,3,0,2,1,2,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,0,0,0,1,0,63,0,13,4,7,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,20,0,3,0,0,1,2,0,7,0,9,0,2,0,5,0,0,0,1,0,0,4,1,0,71,8,0,0,2,2,3,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,398,2.99248120300752,"or the protection of human subjects (id: study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resulting sample does differ from japan’s adult population in terms of key demog"," study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resultin",71047
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,0,1,0,3,1,0,6,15,0,0,0,0,1,1,0,9,0,41,0,2,0,3,3,3,0,2,1,2,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,0,0,0,1,0,63,0,13,4,7,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,20,0,3,0,0,1,2,0,7,0,9,0,2,0,5,0,0,0,1,0,0,4,1,0,71,8,0,0,2,2,3,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,398,2.99248120300752,"xchange program issue. given these variables, we test three preregistered hypotheses using ordinary least squares (ols) regressions. below, we introduce two main hypotheses. the third hypothesis and the results of testing it are presented in the supplementary materials. the first hypothesis is based on a simple additive model: hypothesis 1 in an additive model, y = b0 + b1 ⋅ source cue + b2 ⋅ policy content +b3 ⋅ issue salience + 𝜖, the estimated coefficients fo"," study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resultin",71047
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,0,1,0,3,1,0,6,15,0,0,0,0,1,1,0,9,0,41,0,2,0,3,3,3,0,2,1,2,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,0,0,0,1,0,63,0,13,4,7,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,20,0,3,0,0,1,2,0,7,0,9,0,2,0,5,0,0,0,1,0,0,4,1,0,71,8,0,0,2,2,3,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,398,2.99248120300752,"e sali- ence was not our main research interest, we did not preregister a hypothesis on this additional interaction. but the results of running a model with an interaction of policy content and issue salience show that the interaction is in fact insignificant. this result is contrary to the finding in ciuk and yost (2016). one might expect that uncooperative policy on a charged issue like security would motivate people to con- sider policy implications more clos"," study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resultin",71047
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,0,1,0,3,1,0,6,15,0,0,0,0,1,1,0,9,0,41,0,2,0,3,3,3,0,2,1,2,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,0,0,0,1,0,63,0,13,4,7,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,20,0,3,0,0,1,2,0,7,0,9,0,2,0,5,0,0,0,1,0,0,4,1,0,71,8,0,0,2,2,3,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,398,2.99248120300752,"or the protection of human subjects (id: study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resulting sample does differ from japan’s adult population in terms of key demog"," study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resultin",71047
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,0,1,0,3,1,0,6,15,0,0,0,0,1,1,0,9,0,41,0,2,0,3,3,3,0,2,1,2,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,0,0,0,1,0,63,0,13,4,7,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,20,0,3,0,0,1,2,0,7,0,9,0,2,0,5,0,0,0,1,0,0,4,1,0,71,8,0,0,2,2,3,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,398,2.99248120300752,"xchange program issue. given these variables, we test three preregistered hypotheses using ordinary least squares (ols) regressions. below, we introduce two main hypotheses. the third hypothesis and the results of testing it are presented in the supplementary materials. the first hypothesis is based on a simple additive model: hypothesis 1 in an additive model, y = b0 + b1 ⋅ source cue + b2 ⋅ policy content +b3 ⋅ issue salience + 𝜖, the estimated coefficients fo"," study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resultin",71047
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,0,1,0,3,1,0,6,15,0,0,0,0,1,1,0,9,0,41,0,2,0,3,3,3,0,2,1,2,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,0,0,0,1,0,63,0,13,4,7,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,20,0,3,0,0,1,2,0,7,0,9,0,2,0,5,0,0,0,1,0,0,4,1,0,71,8,0,0,2,2,3,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,398,2.99248120300752,"e sali- ence was not our main research interest, we did not preregister a hypothesis on this additional interaction. but the results of running a model with an interaction of policy content and issue salience show that the interaction is in fact insignificant. this result is contrary to the finding in ciuk and yost (2016). one might expect that uncooperative policy on a charged issue like security would motivate people to con- sider policy implications more clos"," study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resultin",71047
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,0,1,0,3,1,0,6,15,0,0,0,0,1,1,0,9,0,41,0,2,0,3,3,3,0,2,1,2,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,0,0,0,1,0,63,0,13,4,7,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,20,0,3,0,0,1,2,0,7,0,9,0,2,0,5,0,0,0,1,0,0,4,1,0,71,8,0,0,2,2,3,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,398,2.99248120300752,"or the protection of human subjects (id: study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resulting sample does differ from japan’s adult population in terms of key demog"," study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resultin",71047
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,0,1,0,3,1,0,6,15,0,0,0,0,1,1,0,9,0,41,0,2,0,3,3,3,0,2,1,2,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,0,0,0,1,0,63,0,13,4,7,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,20,0,3,0,0,1,2,0,7,0,9,0,2,0,5,0,0,0,1,0,0,4,1,0,71,8,0,0,2,2,3,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,398,2.99248120300752,"xchange program issue. given these variables, we test three preregistered hypotheses using ordinary least squares (ols) regressions. below, we introduce two main hypotheses. the third hypothesis and the results of testing it are presented in the supplementary materials. the first hypothesis is based on a simple additive model: hypothesis 1 in an additive model, y = b0 + b1 ⋅ source cue + b2 ⋅ policy content +b3 ⋅ issue salience + 𝜖, the estimated coefficients fo"," study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://egap.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resultin",71047
